sample	window	usable_sites	intermediate_sites	intermediate_fraction	observed_het_fraction	expected_het_fraction	het_ratio
12F2023670	AUTOSOMAL	6858	1752	0.2555	0.417	0.4585	0.91
12F2023670	ATM	185	24	0.1297	1.0	0.4459	2.243
12F2023670	BCL2	234	57	0.2436	0.8248	0.4591	1.797
12F2023670	BIRC3	52	2	0.0385	0.0769	0.4443	0.173
12F2023670	BRAF	145	0	0.0	0.0207	0.435	0.048
12F2023670	CCND1	733	87	0.1187	0.5607	0.4629	1.211
12F2023670	CCND2	209	50	0.2392	0.2871	0.4484	0.64
12F2023670	CCND3	93	40	0.4301	0.4301	0.4654	0.924
12F2023670	CDKN2A	42	6	0.1429	0.4286	0.4602	0.931
12F2023670	CRBN	110	7	0.0636	0.1545	0.4711	0.328
12F2023670	CUL4A	97	4	0.0412	0.0515	0.4941	0.104
12F2023670	CXCR4	16	9	0.5625	0.875	0.4506	1.942
12F2023670	DEFB1	9	1	0.1111	0.2222	0.4711	0.472
12F2023670	DIS3	5	2	0.4	0.4	0.4372	0.915
12F2023670	EGFR	153	35	0.2288	0.4967	0.4739	1.048
12F2023670	EGR1	5	2	0.4	1.0	0.4531	2.207
12F2023670	FBXW7	68	2	0.0294	0.0588	0.4793	0.123
12F2023670	FCRL5/FCRL4	57	30	0.5263	0.614	0.4723	1.3
12F2023670	FGFR3/NSD2	1	0	0.0	0.0	0.4998	0.0
12F2023670	IDH1	16	5	0.3125	0.3125	0.4253	0.735
12F2023670	IDH2	155	23	0.1484	0.5419	0.4462	1.215
12F2023670	IGL/IGLL5	221	53	0.2398	0.2579	0.4633	0.557
12F2023670	IKZF1	77	21	0.2727	0.7403	0.4561	1.623
12F2023670	IKZF3	27	24	0.8889	0.8889	0.437	2.034
12F2023670	IRF4	37	28	0.7568	0.8108	0.4566	1.776
12F2023670	KMT2C	53	3	0.0566	0.0566	0.4234	0.134
12F2023670	KRAS	13	0	0.0	0.0	0.4438	0.0
12F2023670	LRRK2	51	1	0.0196	0.0196	0.4685	0.042
12F2023670	MAFA	290	87	0.3	0.331	0.4569	0.725
12F2023670	MAFB	114	33	0.2895	0.2895	0.4603	0.629
12F2023670	MAP3K14	4	3	0.75	0.75	0.4777	1.57
12F2023670	MAX	49	13	0.2653	0.3061	0.4722	0.648
12F2023670	MYC	1948	486	0.2495	0.2654	0.4537	0.585
12F2023670	MYD88	5	2	0.4	1.0	0.4018	2.489
12F2023670	NFKB1	132	92	0.697	0.8788	0.4541	1.935
12F2023670	NR3C1	21	6	0.2857	0.4762	0.4608	1.033
12F2023670	NRAS	6	1	0.1667	0.1667	0.4588	0.363
12F2023670	PAX5	183	58	0.3169	0.5956	0.4623	1.288
12F2023670	PIK3CA	53	31	0.5849	0.6604	0.4459	1.481
12F2023670	PIM1	64	31	0.4844	0.6875	0.4773	1.441
12F2023670	PRDM1	8	4	0.5	0.5	0.4649	1.075
12F2023670	PRKD2	25	15	0.6	0.64	0.4624	1.384
12F2023670	PSMB5	7	1	0.1429	0.1429	0.4819	0.296
12F2023670	PSMG2	147	22	0.1497	0.551	0.4559	1.209
12F2023670	RB1	14	5	0.3571	0.5714	0.4628	1.235
12F2023670	RFTN1	142	11	0.0775	0.1268	0.4753	0.267
12F2023670	SETD2	90	35	0.3889	1.0	0.4787	2.089
12F2023670	SP140	22	5	0.2273	0.2727	0.4769	0.572
12F2023670	STAT3	31	10	0.3226	0.3548	0.4853	0.731
12F2023670	TENT5C	23	13	0.5652	0.5652	0.4424	1.278
12F2023670	TET2	30	17	0.5667	0.6333	0.4647	1.363
12F2023670	TNFAIP8	34	10	0.2941	0.4118	0.4735	0.87
12F2023670	TP53+TNFSF12	152	53	0.3487	0.3816	0.4577	0.834
12F2023670	TRAF2	50	2	0.04	0.08	0.458	0.175
12F2023670	TRAF3	35	10	0.2857	0.2857	0.4449	0.642
12F2023670	TXNDC5	44	10	0.2273	0.2273	0.4774	0.476
12F2023670	UBR5	18	10	0.5556	0.6111	0.4565	1.339
12F2023670	UST	91	49	0.5385	0.5495	0.4675	1.175
12F2023670	WWOX/MAF	65	31	0.4769	0.5077	0.4596	1.105
12F2023670	XBP1	4	1	0.25	0.25	0.4874	0.513
12F2023670	ZNF292	93	79	0.8495	0.8925	0.4643	1.922
11F202615394	AUTOSOMAL	20571	3235	0.1573	0.4746	0.4599	1.032
11F202615394	ATM	203	43	0.2118	1.0	0.4458	2.243
11F202615394	BCL2	241	14	0.0581	0.3071	0.4588	0.669
11F202615394	BIRC3	72	2	0.0278	0.0417	0.4472	0.093
11F202615394	BRAF	149	2	0.0134	0.0805	0.4355	0.185
11F202615394	CCND1	1002	103	0.1028	0.499	0.4641	1.075
11F202615394	CCND2	808	193	0.2389	0.5347	0.4585	1.166
11F202615394	CCND3	520	34	0.0654	0.2019	0.457	0.442
11F202615394	CDKN2A	64	6	0.0938	0.9062	0.4606	1.967
11F202615394	CRBN	191	33	0.1728	0.4607	0.4673	0.986
11F202615394	CUL4A	109	26	0.2385	0.9908	0.4944	2.004
11F202615394	CXCR4	50	10	0.2	0.88	0.4598	1.914
11F202615394	CYLD	53	48	0.9057	1.0	0.468	2.137
11F202615394	DDB1	1	1	1.0	1.0	0.375	2.667
11F202615394	DEFB1	316	53	0.1677	0.75	0.4693	1.598
11F202615394	DIS3	57	4	0.0702	0.3509	0.4561	0.769
11F202615394	EGFR	203	11	0.0542	0.67	0.4752	1.41
11F202615394	EGR1	92	10	0.1087	0.8696	0.4407	1.973
11F202615394	FBXW7	91	10	0.1099	0.2747	0.4811	0.571
11F202615394	FCRL5/FCRL4	221	7	0.0317	0.6787	0.4777	1.421
11F202615394	FGFR3/NSD2	44	5	0.1136	0.6364	0.4339	1.467
11F202615394	IDH1	23	4	0.1739	0.8696	0.4268	2.038
11F202615394	IDH2	206	17	0.0825	0.5	0.4497	1.112
11F202615394	IGL/IGLL5	1454	154	0.1059	0.4154	0.4585	0.906
11F202615394	IKZF1	103	2	0.0194	0.1359	0.4608	0.295
11F202615394	IKZF3	107	6	0.0561	0.8411	0.4406	1.909
11F202615394	IRF4	104	15	0.1442	0.3846	0.4606	0.835
11F202615394	KMT2B	54	4	0.0741	0.0926	0.4578	0.202
11F202615394	KMT2C	62	5	0.0806	0.5968	0.4322	1.381
11F202615394	KRAS	142	81	0.5704	0.9014	0.446	2.021
11F202615394	LRRK2	205	85	0.4146	0.6634	0.4573	1.451
11F202615394	MAFA	662	53	0.0801	0.435	0.4573	0.951
11F202615394	MAFB	589	50	0.0849	0.5178	0.461	1.123
11F202615394	MAP3K14	41	3	0.0732	0.7805	0.4854	1.608
11F202615394	MAX	121	18	0.1488	0.7769	0.4737	1.64
11F202615394	MYC	4418	252	0.057	0.3483	0.4585	0.76
11F202615394	MYD88	8	1	0.125	0.875	0.3919	2.233
11F202615394	NFKB1	226	18	0.0796	0.8938	0.4469	2.0
11F202615394	NR3C1	102	3	0.0294	0.4412	0.4583	0.963
11F202615394	NRAS	15	9	0.6	0.9333	0.4724	1.976
11F202615394	PAX5	253	17	0.0672	0.6522	0.4622	1.411
11F202615394	PIK3CA	138	1	0.0072	0.1884	0.4368	0.431
11F202615394	PIM1	146	5	0.0342	0.7945	0.4598	1.728
11F202615394	PRDM1	62	7	0.1129	0.7258	0.4674	1.553
11F202615394	PRKD2	102	10	0.098	0.598	0.4583	1.305
11F202615394	PSMB5	37	1	0.027	0.5135	0.474	1.083
11F202615394	PSMG2	165	11	0.0667	0.7697	0.4584	1.679
11F202615394	RB1	49	0	0.0	0.102	0.4648	0.22
11F202615394	RFTN1	260	14	0.0538	0.3654	0.4703	0.777
11F202615394	SETD2	135	13	0.0963	0.4963	0.4787	1.037
11F202615394	SP140	167	40	0.2395	0.6766	0.464	1.458
11F202615394	STAT3	135	9	0.0667	0.8222	0.4811	1.709
11F202615394	TENT5C	89	41	0.4607	0.764	0.4528	1.687
11F202615394	TET2	121	23	0.1901	0.6777	0.4729	1.433
11F202615394	TNFAIP8	97	14	0.1443	0.7629	0.4592	1.662
11F202615394	TP53+TNFSF12	656	53	0.0808	0.3902	0.4548	0.858
11F202615394	TRAF2	51	3	0.0588	0.7059	0.4585	1.54
11F202615394	TRAF3	66	16	0.2424	0.5606	0.4483	1.25
11F202615394	TXNDC5	142	28	0.1972	0.5563	0.4765	1.167
11F202615394	UBR5	57	0	0.0	0.0351	0.4547	0.077
11F202615394	UST	461	52	0.1128	0.5249	0.46	1.141
11F202615394	WWOX/MAF	3688	1466	0.3975	0.4921	0.4607	1.068
11F202615394	XBP1	61	9	0.1475	0.7705	0.4673	1.649
11F202615394	ZNF292	304	7	0.023	0.0461	0.4678	0.098
